Range_Series,BodyType,ManufacturerID,Odometer,Year,Engine,FuelType,InvoiceAmount
1 SERIES,Hatchback,BM,15818,2022,,Premium,68800
1 SERIES,Hatchback,BM,53668,2017,,Diesel,38561
1 SERIES,Hatchback,BM,72803,2018,,Premium,39890
1 SERIES,Hatchback,BM,76646,2013,,Diesel,25885
1 SERIES,Hatchback,BM,78321,2015,,Diesel,23500
1 SERIES,Hatchback,BM,89535,2015,,Diesel,22920
124,Roadster,AB,20860,2019,,Premium,38295
1500,Utility,DR,6050,2021,,Unleaded,107160
1500,Utility,DR,6582,2023,,Unleaded,95500
1500,Utility,DR,11619,2020,,Unleaded,138490
1500,Utility,DR,12019,2021,,Unleaded,90499
1500,Utility,DR,12351,2021,,Unleaded,190001
1500,Utility,DR,18732,2022,,Unleaded,90000
1500,Utility,DR,18802,2021,,Unleaded,89000
1500,Utility,DR,56459,2020,,Unleaded,94500
1500,Utility,DR,60587,2021,,Unleaded,87871
1500,Utility,DR,66671,2019,,Unleaded,109888
1500,Utility,DR,96352,2015,,Unleaded,76000
1500,Utility,DR,101000,2018,,Unleaded,69814
2,Hatchback,MZ,3053,2020,,Unleaded,24891
2,Hatchback,MZ,4157,2022,,Unleaded,24900
2,Hatchback,MZ,6584,2020,,Unleaded,24493
2,Hatchback,MZ,8685,2020,,Unleaded,25000
2,Hatchback,MZ,12592,2019,,Unleaded,19500
2,Hatchback,MZ,13227,2017,,Unleaded,16990
2,Hatchback,MZ,15278,2019,,Unleaded,20000
2,Hatchback,MZ,16100,2018,,Unleaded,19413
2,Hatchback,MZ,19462,2021,,Unleaded,24240
2,Hatchback,MZ,21400,2014,,Unleaded,16000
2,Hatchback,MZ,26326,2018,,Unleaded,20724
2,Hatchback,MZ,30370,2014,,Unleaded,13500
2,Hatchback,MZ,34610,2019,,Unleaded,16822
2,Hatchback,MZ,37100,2018,,Unleaded,21375
2,Hatchback,MZ,38212,2017,,Unleaded,18000
2,Hatchback,MZ,38446,2015,,Unleaded,16500
2,Hatchback,MZ,39581,2019,,Unleaded,24900
2,Hatchback,MZ,42287,2018,,Unleaded,17339
2,Hatchback,MZ,42977,2017,,Unleaded,17388
2,Hatchback,MZ,45449,2015,,Unleaded,15000
2,Hatchback,MZ,48641,2008,,Unleaded,10000
2,Hatchback,MZ,49500,2018,,Unleaded,18495
2,Hatchback,MZ,49506,2019,,Unleaded,19495
2,Hatchback,MZ,52117,2015,,Unleaded,15500
2,Hatchback,MZ,54268,2016,,Unleaded,19500
2,Hatchback,MZ,54381,2018,,Unleaded,20761
2,Hatchback,MZ,56737,2017,,Unleaded,17750
2,Hatchback,MZ,57224,2016,,Unleaded,15500
2,Hatchback,MZ,58586,2007,,Unleaded,8756
2,Hatchback,MZ,59674,2016,,Unleaded,17990
2,Hatchback,MZ,59714,2014,,Unleaded,12780
2,Hatchback,MZ,66557,2013,,Unleaded,10981
2,Hatchback,MZ,68722,2016,,Unleaded,19805
2,Hatchback,MZ,69100,2014,,Unleaded,13518
2,Hatchback,MZ,74788,2011,,Unleaded,7618
2,Hatchback,MZ,76339,2013,,Unleaded,13600
2,Hatchback,MZ,85206,2015,,Unleaded,14580
2,Hatchback,MZ,85394,2011,,Unleaded,7500
2,Hatchback,MZ,88050,2017,,Unleaded,15728
2,Hatchback,MZ,90115,2015,,Unleaded,14353
2,Hatchback,MZ,94537,2009,,Unleaded,8870
2,Hatchback,MZ,101892,2012,,Unleaded,8000
2,Hatchback,MZ,105628,2009,,Unleaded,9000
2,Hatchback,MZ,111484,2010,,Unleaded,7200
2,Hatchback,MZ,126355,2014,,Unleaded,3037
2,Hatchback,MZ,135751,2015,,Unleaded,12751
2,Hatchback,MZ,136316,2013,,Unleaded,8888
2,Hatchback,MZ,138628,2008,,Unleaded,9864
2,Hatchback,MZ,142964,2010,,Unleaded,4850
2,Null,MZ,,2016,,NUnleadedLL,16500
2,Null,MZ,,2017,,NUnleadedLL,15999
2,Null,PL,14873,2022,,Electric,62000
2,Null,PL,29772,2022,,Electric,47000
2,Sedan,MZ,14737,2018,,Unleaded,17500
2,Sedan,MZ,29293,2018,,Unleaded,25358
2,Sedan,MZ,29838,2019,,Unleaded,22110
2,Sedan,MZ,35000,2015,,Unleaded,15219
2,Sedan,MZ,46980,2015,,Unleaded,11500
2,Sedan,MZ,65747,2018,,Unleaded,17386
2 SERIES,Coupe,BM,80106,2016,,Diesel,27500
2 SERIES,Null,BM,,2014,,NUnleadedLL,30000
208,Hatchback,PE,35190,2016,,Premium,12850
2500,Utility,DR,65238,2018,,Diesel,137474
3,Hatchback,MZ,7999,2021,,Premium,33334
3,Hatchback,MZ,9881,2023,,Premium,32876
3,Hatchback,MZ,10007,2022,,Premium,37000
3,Hatchback,MZ,11382,2021,,Premium,31450
3,Hatchback,MZ,12021,2017,,Unleaded,20000
3,Hatchback,MZ,12105,2021,,Premium,30000
3,Hatchback,MZ,14822,2017,,Unleaded,19500
3,Hatchback,MZ,16799,2021,,Premium,27845
3,Hatchback,MZ,17200,2014,,Unleaded,20000
3,Hatchback,MZ,17744,2022,,Premium,29000
3,Hatchback,MZ,20560,2018,,Unleaded,28000
3,Hatchback,MZ,22099,2014,,Unleaded,7462
3,Hatchback,MZ,22598,2017,,Unleaded,23000
3,Hatchback,MZ,26372,2020,,Premium,30100
3,Hatchback,MZ,27090,2018,,Unleaded,26990
3,Hatchback,MZ,27302,2018,,Unleaded,23668
3,Hatchback,MZ,27340,2018,,Unleaded,24000
3,Hatchback,MZ,27468,2016,,Unleaded,19335
